brand,screen_size,cpu,ram,OS,graphics,price
MSI,17.3,Intel,32,Windows,Dedicated,1999.99
MSI,17.3,Intel,32,Windows,Dedicated,1399.0
Lenovo,14.0,Intel,16,Windows,Integrated,219.0
Asus,16.0,Intel,32,Windows,Dedicated,2199.0
Asus,14.5,Intel,32,Windows,Dedicated,2299.99
Asus,16.0,AMD,8,Windows,Integrated,561.0
Lenovo,14.0,Intel,4,Windows,Integrated,181.99
MSI,16.0,Intel,16,Windows,Dedicated,2091.05
Asus,16.0,Intel,32,Windows,Dedicated,2499.0
MSI,15.6,Intel,32,Windows,Dedicated,1699.0
Dell,16.0,Intel,32,Windows,Integrated,899.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
MSI,15.66,Intel,32,Windows,Dedicated,1599.0
HP,11.6,Other,4,Chrome OS,Integrated,160.0
Asus,14.0,Other,4,Windows,Integrated,231.85
HP,14.0,Intel,8,Windows,Integrated,514.99
Asus,15.6,Intel,32,Windows,Dedicated,2849.0
HP,15.6,Intel,32,Windows,Integrated,579.99
Asus,11.6,Other,4,Windows,Integrated,279.99
Lenovo,15.6,Intel,12,Windows,Integrated,561.99
Lenovo,16.0,Intel,8,Windows,Integrated,682.0
ROKC,15.6,Intel,20,Windows,Integrated,389.99
HP,15.6,Intel,16,Windows,Integrated,459.99
ROKC,15.6,Intel,20,Windows,Integrated,639.99
Dell,14.0,AMD,8,Windows,Dedicated,542.95
Lenovo,14.0,Intel,16,Windows,Integrated,1249.0
Samsung,13.3,Intel,8,Chrome OS,Integrated,643.0
Acer,17.3,Other,4,Chrome OS,Integrated,328.67
Dell,15.6,Intel,64,Windows,Integrated,1000.0
Dell,16.0,Intel,32,Windows,Integrated,899.99
MSI,15.6,Intel,32,Windows,Dedicated,1699.0
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
MSI,15.66,Intel,32,Windows,Dedicated,1599.0
LG,16.0,Intel,32,Windows,Integrated,1899.0
Acer,14.0,Intel,8,Windows,Integrated,499.99
Dell,16.0,Intel,32,Windows,Integrated,1020.33
HP,17.3,Intel,32,Windows,Integrated,619.99
Lenovo,13.0,Other,8,Windows,Integrated,799.0
Dell,13.4,Intel,32,Windows,Integrated,1126.85
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Lenovo,15.6,AMD,8,Windows,Integrated,499.0
Lenovo,14.0,AMD,16,Windows,Integrated,622.04
Dell,15.6,Intel,8,Windows,Integrated,748.47
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Asus,15.6,Intel,16,Windows,Dedicated,2499.99
Dell,13.4,Intel,16,Windows,Integrated,1305.17
Other,15.6,Intel,16,Windows,Dedicated,1659.68
HP,15.6,Intel,8,Windows,Integrated,377.0
Lenovo,14.0,Other,4,Chrome OS,Integrated,299.0
